11-41,11,41,383
11-42,11,42,495
11-43,11,43,545
11-44,11,44,470
11-45,11,45,11705
11-46,11,46,432
11-47,11,47,504
11-48,11,48,631
11-49,11,49,478
11-5,11,5,2928
11-50,11,50,8796
11-51,11,51,378
11-52,11,52,479
11-53,11,53,501
11-54,11,54,495
11-55,11,55,4131
11-56,11,56,443
11-57,11,57,524
11-58,11,58,677
11-59,11,59,662
11-6,11,6,436
11-7,11,7,421
11-8,11,8,573
11-9,11,9,449
12-0,12,0,135632
12-1,12,1,763
12-10,12,10,7183
12-11,12,11,424
12-12,12,12,586
12-13,12,13,547
12-14,12,14,511
12-15,12,15,12183
12-16,12,16,459
12-17,12,17,499
12-18,12,18,712
12-19,12,19,514
12-2,12,2,517
12-20,12,20,9346
12-21,12,21,418
12-22,12,22,593
12-23,12,23,595
12-24,12,24,568
12-25,12,25,4629
12-26,12,26,530
12-27,12,27,532
12-28,12,28,689
12-29,12,29,500
12-3,12,3,505
12-30,12,30,40029
12-31,12,31,400
12-32,12,32,480
12-33,12,33,512
12-34,12,34,526
12-35,12,35,4324
12-36,12,36,497
12-37,12,37,589
12-38,12,38,707
12-39,12,39,502
12-4,12,4,497
12-40,12,40,9332
12-41,12,41,409
12-42,12,42,578
12-43,12,43,610
12-44,12,44,551
12-45,12,45,12638
12-46,12,46,504
12-47,12,47,579
12-48,12,48,728
12-49,12,49,505
12-5,12,5,3986
12-50,12,50,9995
12-51,12,51,421
12-52,12,52,525
12-53,12,53,576
12-54,12,54,505
12-55,12,55,4536
12-56,12,56,548
12-57,12,57,573
12-58,12,58,720
12-59,12,59,537
12-6,12,6,516
12-7,12,7,519
12-8,12,8,652
12-9,12,9,511
13-0,13,0,85639
13-1,13,1,466
13-10,13,10,8306
13-11,13,11,474
13-12,13,12,630
13-13,13,13,652
13-14,13,14,534
13-15,13,15,12531
13-16,13,16,492
13-17,13,17,560
13-18,13,18,746
13-19,13,19,555
13-2,13,2,503
13-20,13,20,11083
13-21,13,21,454
13-22,13,22,569
13-23,13,23,568
13-24,13,24,613
13-25,13,25,5504
13-26,13,26,573
13-27,13,27,605
13-28,13,28,724
13-29,13,29,574
13-3,13,3,489
13-30,13,30,40344
13-31,13,31,395
13-32,13,32,540
13-33,13,33,688
13-34,13,34,537
13-35,13,35,4908
13-36,13,36,543
13-37,13,37,551
13-38,13,38,750
13-39,13,39,541
13-4,13,4,505
13-40,13,40,10439
13-41,13,41,453
13-42,13,42,630
13-43,13,43,607
13-44,13,44,594
13-45,13,45,12671
13-46,13,46,488
13-47,13,47,649
13-48,13,48,804
13-49,13,49,563
13-5,13,5,4250
13-50,13,50,11531
13-51,13,51,438
