2010,2011,2012,2013,2014,2015,Borough,,,
"2,968,167","3,271,729","3,081,142","3,193,844","3,201,585","3,353,795",Brooklyn,,,
Clark St  2 subway 3 subway,,,,,,,,,
"1,711,829","1,754,204","1,855,650","1,972,314","2,018,876","1,997,148",Brooklyn,,,
Classon Av  G subway,,,,,,,,,
"1,207,680","1,308,232","1,355,886","1,432,872","1,477,256","1,604,508",Brooklyn,,,
Cleveland St J subway,,,,,,,,,
"970,732","1,002,848","1,029,708","1,050,261","1,107,397","1,120,403",Brooklyn,,,
Clinton-Washington Avs C subway ,,,,,,,,,
"1,707,500","1,819,542","1,891,559","2,104,035","2,077,312","2,060,200",Brooklyn,,,
Clinton-Washington Avs G subway,,,,,,,,,
"1,517,296","1,628,558","1,637,463","1,678,004","1,652,336","1,716,023",Brooklyn,,,
Coney Island-Stillwell Av D subway F subway N subway Q subway,,,,,,,,,
"4,768,416","4,649,438","4,733,106","4,690,794","4,980,140","5,132,083",Brooklyn,,,
Cortelyou Rd  Q subway,,,,,,,,,
"2,086,918","2,135,444","1,992,781","1,700,177","1,806,758","1,961,144",Brooklyn,,,
Court St  R subway /Borough Hall 2 subway 3 subway 4 subway 5 subway,,,,,,,,,
"11,134,599","11,115,037","10,988,473","11,291,705","11,474,717","11,360,058",Brooklyn,,,
Crescent St  J subway Z subway,,,,,,,,,
"1,464,238","1,514,075","1,504,645","1,509,290","1,583,134","1,626,727",Brooklyn,,,
Crown Heights-Utica Av 3 subway 4 subway,,,,,,,,,
"8,498,343","8,438,284","8,469,613","8,534,705","8,690,082","8,965,908",Brooklyn,,,
Cypress Hills  J subway,,,,,,,,,
"419,062","435,446","411,495","432,557","450,480","452,936",Brooklyn,,,
DeKalb Av  B subway Q subway R subway ,,,,,,,,,
"5,079,961","5,122,803","5,222,096","5,223,608","5,288,037","5,373,388",Brooklyn,,,
DeKalb Av  L subway,,,,,,,,,
"3,343,666","3,382,468","3,495,896","3,712,102","3,924,836","3,938,538",Brooklyn,,,
Ditmas Av  F subway ,,,,,,,,,
"1,377,549","1,392,790","1,404,811","1,455,737","1,437,835","1,033,946",Brooklyn,,,
East 105 St  L subway,,,,,,,,,
"1,065,469","1,101,683","1,110,433","1,161,688","1,197,125","1,187,844",Brooklyn,,,
Eastern Pkwy-Brooklyn Museum 2 subway 3 subway,,,,,,,,,
"1,590,190","1,568,924","1,578,613","1,674,856","1,665,524","1,676,659",Brooklyn,,,
Euclid Av  A subway C subway,,,,,,,,,
"3,004,395","3,100,867","3,115,445","3,323,235","3,315,007","3,509,500",Brooklyn,,,
Flatbush Av-Brooklyn College 2 subway 5 subway ,,,,,,,,,
"6,335,954","6,547,958","6,384,496","6,562,226","6,447,908","6,487,608",Brooklyn,,,
Flushing Av  G subway,,,,,,,,,
"553,739","616,083","655,317","728,668","808,421","866,803",Brooklyn,,,
Flushing Av  J subway M subway,,,,,,,,,
"2,610,974","2,683,278","2,776,360","2,869,903","2,847,691","2,991,074",Brooklyn,,,
Fort Hamilton Pkwy D subway,,,,,,,,,
"1,154,051","1,103,024","1,025,285","1,240,644","1,317,172","1,297,755",Brooklyn,,,
Fort Hamilton Pkwy F subway G subway,,,,,,,,,
"1,509,737","1,292,131","1,538,039","1,688,093","1,729,381","1,792,239",Brooklyn,,,
Fort Hamilton Pkwy N subway,,,,,,,,,
"2,045,741","2,086,389","2,105,486","2,200,487","2,278,120","2,164,028",Brooklyn,,,
Franklin Av  2 subway 3 subway 4 subway 5 subway /Botanic Garden S subway,,,,,,,,,
"4,433,981","4,712,492","4,934,593","5,125,782","5,377,967","5,100,038",Brooklyn,,,
Franklin Av  C subway S subway,,,,,,,,,
"1,768,472","1,904,736","1,982,691","2,049,246","2,125,076","2,137,752",Brooklyn,,,
Fulton St  G subway,,,,,,,,,
"1,098,862","1,179,034","1,280,063","1,394,890","1,485,669","1,643,353",Brooklyn,,,
Gates Av  J subway Z subway,,,,,,,,,
"1,749,349","1,870,109","1,901,060","1,895,878","1,984,486","2,100,864",Brooklyn,,,
Graham Av  L subway,,,,,,,,,
"3,028,830","3,054,897","3,086,342","3,179,579","3,402,514","3,293,413",Brooklyn,,,
Grand Army Plaza 2 subway 3 subway,,,,,,,,,
"2,369,355","2,417,351","2,507,555","2,556,750","2,505,721","2,433,907",Brooklyn,,,
Grand St  L subway,,,,,,,,,
"2,103,847","2,135,063","2,145,374","2,260,023","2,414,872","2,242,757",Brooklyn,,,
Grant Av  A subway,,,,,,,,,
"1,910,245","1,953,637","1,952,581","1,958,503","2,041,848","2,084,651",Brooklyn,,,
Greenpoint Av G subway,,,,,,,,,
"2,200,679","2,490,286","2,521,422","2,543,568","2,428,027","2,902,723",Brooklyn,,,
Halsey St  J subway,,,,,,,,,
"1,730,267","1,805,490","1,800,505","1,845,755","1,968,526","2,083,683",Brooklyn,,,
Halsey St  L subway,,,,,,,,,
"2,019,248","2,037,729","2,136,529","2,317,512","2,492,974","2,465,693",Brooklyn,,,
Hewes St  J subway M subway,,,,,,,,,
"785,545","848,377","895,661","927,212","903,641","981,379",Brooklyn,,,
High St  A subway C subway,,,,,,,,,
"1,968,091","2,093,306","2,209,212","2,441,136","2,687,244","2,656,705",Brooklyn,,,
Hoyt St  2 subway 3 subway,,,,,,,,,
"1,839,662","1,922,916","1,978,582","2,033,085","2,181,465","2,249,892",Brooklyn,,,
Hoyt-Schermerhorn Sts A subway C subway G subway,,,,,,,,,
"2,923,091","2,968,639","2,990,881","2,971,379","2,961,316","3,038,302",Brooklyn,,,
Jay St-MetroTech A subway C subway F subway R subway,,,,,,,,,
