2010,2011,2012,2013,2014,2015,Borough,,,
"2,221,497","2,286,542","2,246,624","2,262,961","2,263,109","2,224,331",Queens,,,
Parsons Blvd  F subway,,,,,,,,,
"1,903,041","1,920,497","1,950,852","2,035,948","2,052,252","2,094,007",Queens,,,
Queens Plaza  E subway M subway R subway,,,,,,,,,
"2,408,523","2,550,906","2,747,366","2,855,006","3,005,223","3,101,888",Queens,,,
Queensboro Plaza N subway Q subway 7 subway,,,,,,,,,
"2,813,789","3,047,146","3,350,219","3,569,290","3,785,260","3,773,168",Queens,,,
Rockaway Blvd  A subway,,,,,,,,,
"2,353,592","2,373,967","2,446,937","2,637,100","2,575,171","1,729,268",Queens,,,
Rockaway Park-Beach 116 St A subway S subway,,,,,,,,,
"268,625","286,902","251,080","135,956","231,407","255,542",Queens,,,
Seneca Av  M subway,,,,,,,,,
"670,795","758,144","716,729","711,011","755,026","842,069",Queens,,,
Steinway St  M subway R subway,,,,,,,,,
"4,561,738","4,930,914","4,866,245","4,798,179","4,807,448","4,779,346",Queens,,,
Sutphin Blvd  F subway,,,,,,,,,
"1,465,324","1,470,022","1,468,970","1,550,363","1,468,419","1,506,607",Queens,,,
Sutphin Blvd-Archer Av-JFK Airport E subway J subway Z subway,,,,,,,,,
"6,447,287","6,839,255","6,975,316","7,303,038","7,633,725","7,767,728",Queens,,,
Vernon Blvd-Jackson Av 7 subway,,,,,,,,,
"3,110,952","3,170,128","3,357,030","3,726,974","4,169,876","4,462,652",Queens,,,
Woodhaven Blvd J subway Z subway,,,,,,,,,
"1,285,323","1,357,800","1,328,319","1,398,536","1,505,920","1,551,590",Queens,,,
Woodhaven Blvd M subway R subway,,,,,,,,,
"7,307,038","7,241,776","7,157,320","7,157,254","7,125,205","7,120,037",Queens,,,
Woodside-61 St 7 subway,,,,,,,,,
"5,394,103","5,382,589","5,273,308","5,330,760","5,356,621","5,432,682",Queens,,,
